unique_id,y_predicted
uniqueid_1-Kenya,No
uniqueid_2-Kenya,No
uniqueid_3-Kenya,Yes
uniqueid_4-Kenya,No
uniqueid_5-Kenya,No
uniqueid_6-Kenya,No
uniqueid_7-Kenya,No
uniqueid_8-Kenya,Yes
uniqueid_9-Kenya,No
uniqueid_10-Kenya,No
uniqueid_11-Kenya,No
uniqueid_12-Kenya,Yes
uniqueid_13-Kenya,No
uniqueid_14-Kenya,No
uniqueid_15-Kenya,No
uniqueid_16-Kenya,No
uniqueid_17-Kenya,No
uniqueid_18-Kenya,No
uniqueid_19-Kenya,Yes
uniqueid_20-Kenya,No
uniqueid_21-Kenya,No
uniqueid_22-Kenya,Yes
uniqueid_23-Kenya,No
uniqueid_24-Kenya,No
uniqueid_25-Kenya,No
uniqueid_26-Kenya,No
uniqueid_27-Kenya,No
uniqueid_28-Kenya,No
uniqueid_29-Kenya,No
uniqueid_30-Kenya,No
uniqueid_31-Kenya,No
uniqueid_32-Kenya,Yes
uniqueid_33-Kenya,Yes
uniqueid_34-Kenya,No
uniqueid_35-Kenya,No
uniqueid_36-Kenya,No
uniqueid_37-Kenya,No
uniqueid_38-Kenya,No
uniqueid_39-Kenya,No
uniqueid_40-Kenya,No
uniqueid_41-Kenya,No
uniqueid_42-Kenya,No
uniqueid_43-Kenya,No
uniqueid_44-Kenya,No
uniqueid_45-Kenya,No
uniqueid_46-Kenya,No
uniqueid_47-Kenya,No
uniqueid_48-Kenya,Yes
uniqueid_49-Kenya,No
uniqueid_50-Kenya,No
uniqueid_51-Kenya,No
uniqueid_52-Kenya,No
uniqueid_53-Kenya,No
uniqueid_54-Kenya,No
uniqueid_55-Kenya,No
uniqueid_56-Kenya,No
uniqueid_57-Kenya,Yes
uniqueid_58-Kenya,No
uniqueid_59-Kenya,No
uniqueid_60-Kenya,No
uniqueid_61-Kenya,No
uniqueid_62-Kenya,No
uniqueid_63-Kenya,No
uniqueid_64-Kenya,Yes
uniqueid_65-Kenya,No
uniqueid_66-Kenya,No
uniqueid_67-Kenya,No
uniqueid_68-Kenya,No
uniqueid_69-Kenya,No
uniqueid_70-Kenya,Yes
uniqueid_71-Kenya,No
uniqueid_72-Kenya,No
uniqueid_73-Kenya,No
uniqueid_74-Kenya,No
uniqueid_75-Kenya,No
uniqueid_76-Kenya,No
uniqueid_77-Kenya,No
uniqueid_78-Kenya,No
uniqueid_79-Kenya,No
uniqueid_80-Kenya,No
uniqueid_81-Kenya,No
uniqueid_82-Kenya,No
uniqueid_83-Kenya,No
uniqueid_84-Kenya,No
uniqueid_85-Kenya,No
uniqueid_86-Kenya,No
uniqueid_87-Kenya,No
uniqueid_88-Kenya,No
uniqueid_89-Kenya,No
uniqueid_90-Kenya,No
uniqueid_91-Kenya,No
uniqueid_92-Kenya,No
uniqueid_93-Kenya,No
uniqueid_94-Kenya,No
uniqueid_95-Kenya,No
uniqueid_96-Kenya,No
uniqueid_97-Kenya,No
uniqueid_98-Kenya,No
uniqueid_99-Kenya,No
uniqueid_100-Kenya,No
uniqueid_101-Kenya,No
uniqueid_102-Kenya,Yes
uniqueid_103-Kenya,Yes
uniqueid_104-Kenya,No
uniqueid_105-Kenya,No
uniqueid_106-Kenya,No
uniqueid_107-Kenya,No
uniqueid_108-Kenya,Yes
uniqueid_109-Kenya,No
uniqueid_110-Kenya,No
uniqueid_111-Kenya,No
uniqueid_112-Kenya,Yes
uniqueid_113-Kenya,No
uniqueid_114-Kenya,No
uniqueid_115-Kenya,No
uniqueid_116-Kenya,No
uniqueid_117-Kenya,No
uniqueid_118-Kenya,No
uniqueid_119-Kenya,No
uniqueid_120-Kenya,No
uniqueid_121-Kenya,No
uniqueid_122-Kenya,No
uniqueid_123-Kenya,Yes
uniqueid_124-Kenya,No
uniqueid_125-Kenya,No
uniqueid_126-Kenya,Yes
uniqueid_127-Kenya,Yes
uniqueid_128-Kenya,No
uniqueid_129-Kenya,Yes
uniqueid_130-Kenya,No
uniqueid_131-Kenya,No
uniqueid_132-Kenya,No
uniqueid_133-Kenya,No
uniqueid_134-Kenya,No
uniqueid_135-Kenya,No
uniqueid_136-Kenya,No
uniqueid_137-Kenya,No
uniqueid_138-Kenya,No
uniqueid_139-Kenya,No
uniqueid_140-Kenya,No
uniqueid_141-Kenya,No
uniqueid_142-Kenya,Yes
uniqueid_143-Kenya,No
uniqueid_144-Kenya,No
uniqueid_145-Kenya,No
uniqueid_146-Kenya,No
uniqueid_147-Kenya,No
uniqueid_148-Kenya,No
uniqueid_149-Kenya,No
uniqueid_150-Kenya,No
uniqueid_151-Kenya,No
uniqueid_152-Kenya,No
uniqueid_153-Kenya,Yes
uniqueid_154-Kenya,No
uniqueid_155-Kenya,Yes
uniqueid_156-Kenya,No
uniqueid_157-Kenya,No
uniqueid_158-Kenya,No
uniqueid_159-Kenya,No
uniqueid_160-Kenya,Yes
uniqueid_161-Kenya,No
uniqueid_162-Kenya,No
uniqueid_163-Kenya,No
uniqueid_164-Kenya,No
uniqueid_165-Kenya,No
uniqueid_166-Kenya,No
uniqueid_167-Kenya,No
uniqueid_168-Kenya,No
uniqueid_169-Kenya,No
uniqueid_170-Kenya,No
uniqueid_171-Kenya,No
uniqueid_172-Kenya,No
uniqueid_173-Kenya,Yes
uniqueid_174-Kenya,No
uniqueid_175-Kenya,No
uniqueid_176-Kenya,No
uniqueid_177-Kenya,No
uniqueid_178-Kenya,No
uniqueid_179-Kenya,No
uniqueid_180-Kenya,No
uniqueid_181-Kenya,No
uniqueid_182-Kenya,No
uniqueid_183-Kenya,No
uniqueid_184-Kenya,No
uniqueid_185-Kenya,No
uniqueid_186-Kenya,Yes
uniqueid_187-Kenya,No
uniqueid_188-Kenya,Yes
uniqueid_189-Kenya,No
uniqueid_190-Kenya,No
uniqueid_191-Kenya,No
uniqueid_192-Kenya,No
uniqueid_193-Kenya,No
uniqueid_194-Kenya,Yes
uniqueid_195-Kenya,No
uniqueid_196-Kenya,No
uniqueid_197-Kenya,No
uniqueid_198-Kenya,No
uniqueid_199-Kenya,Yes
uniqueid_200-Kenya,No
uniqueid_201-Kenya,No
uniqueid_202-Kenya,No
uniqueid_203-Kenya,No
uniqueid_204-Kenya,No
uniqueid_205-Kenya,No
uniqueid_206-Kenya,No
uniqueid_207-Kenya,No
uniqueid_208-Kenya,No
uniqueid_209-Kenya,No
uniqueid_210-Kenya,No
uniqueid_211-Kenya,No
uniqueid_212-Kenya,Yes
uniqueid_213-Kenya,No
uniqueid_214-Kenya,No
uniqueid_215-Kenya,No
uniqueid_216-Kenya,No
uniqueid_217-Kenya,No
uniqueid_218-Kenya,Yes
uniqueid_219-Kenya,Yes
uniqueid_220-Kenya,No
uniqueid_221-Kenya,No
uniqueid_222-Kenya,No
uniqueid_223-Kenya,No
uniqueid_224-Kenya,No
uniqueid_225-Kenya,No
uniqueid_226-Kenya,No
uniqueid_227-Kenya,No
uniqueid_228-Kenya,No
uniqueid_229-Kenya,No
uniqueid_230-Kenya,No
uniqueid_231-Kenya,No
uniqueid_232-Kenya,No
uniqueid_233-Kenya,Yes
uniqueid_234-Kenya,No
uniqueid_235-Kenya,No
uniqueid_236-Kenya,No
uniqueid_237-Kenya,Yes
uniqueid_238-Kenya,No
uniqueid_239-Kenya,No
uniqueid_240-Kenya,No
uniqueid_241-Kenya,No
uniqueid_242-Kenya,No
uniqueid_243-Kenya,No
uniqueid_244-Kenya,No
uniqueid_245-Kenya,No
uniqueid_246-Kenya,Yes
uniqueid_247-Kenya,No
uniqueid_248-Kenya,No
uniqueid_249-Kenya,No
uniqueid_250-Kenya,No
uniqueid_251-Kenya,Yes
uniqueid_252-Kenya,No
uniqueid_253-Kenya,No
uniqueid_254-Kenya,No
uniqueid_255-Kenya,No
uniqueid_256-Kenya,No
uniqueid_257-Kenya,No
uniqueid_258-Kenya,No
uniqueid_259-Kenya,No
uniqueid_260-Kenya,No
uniqueid_261-Kenya,No
uniqueid_262-Kenya,No
uniqueid_263-Kenya,No
uniqueid_264-Kenya,No
uniqueid_265-Kenya,No
uniqueid_266-Kenya,No
uniqueid_267-Kenya,No
uniqueid_268-Kenya,No
uniqueid_269-Kenya,No
uniqueid_270-Kenya,No
uniqueid_271-Kenya,No
uniqueid_272-Kenya,No
uniqueid_273-Kenya,No
uniqueid_274-Kenya,No
uniqueid_275-Kenya,No
uniqueid_276-Kenya,No
uniqueid_277-Kenya,Yes
uniqueid_278-Kenya,No
uniqueid_279-Kenya,Yes
uniqueid_280-Kenya,No
uniqueid_281-Kenya,No
uniqueid_282-Kenya,No
uniqueid_283-Kenya,No
uniqueid_284-Kenya,No
uniqueid_285-Kenya,No
uniqueid_286-Kenya,No
uniqueid_287-Kenya,No
uniqueid_288-Kenya,No
uniqueid_289-Kenya,No
uniqueid_290-Kenya,No
uniqueid_291-Kenya,No
uniqueid_292-Kenya,No
uniqueid_293-Kenya,Yes
uniqueid_294-Kenya,No
uniqueid_295-Kenya,No
uniqueid_296-Kenya,No
uniqueid_297-Kenya,No
uniqueid_298-Kenya,Yes
uniqueid_299-Kenya,No
uniqueid_300-Kenya,Yes
uniqueid_301-Kenya,No
uniqueid_302-Kenya,No
uniqueid_303-Kenya,No
uniqueid_304-Kenya,No
uniqueid_305-Kenya,No
uniqueid_306-Kenya,No
uniqueid_307-Kenya,No
uniqueid_308-Kenya,No
uniqueid_309-Kenya,Yes
uniqueid_310-Kenya,Yes
uniqueid_311-Kenya,Yes
uniqueid_312-Kenya,No
uniqueid_313-Kenya,No
uniqueid_314-Kenya,Yes
uniqueid_315-Kenya,No
uniqueid_316-Kenya,Yes
uniqueid_317-Kenya,No
uniqueid_318-Kenya,No
uniqueid_319-Kenya,No
uniqueid_320-Kenya,No
uniqueid_321-Kenya,No
uniqueid_322-Kenya,No
uniqueid_323-Kenya,No
uniqueid_324-Kenya,No
uniqueid_325-Kenya,No
uniqueid_326-Kenya,No
uniqueid_327-Kenya,No
uniqueid_328-Kenya,No
uniqueid_329-Kenya,No
uniqueid_330-Kenya,No
uniqueid_331-Kenya,No
uniqueid_332-Kenya,Yes
uniqueid_333-Kenya,No
uniqueid_334-Kenya,Yes
uniqueid_335-Kenya,Yes
uniqueid_336-Kenya,No
uniqueid_337-Kenya,No
uniqueid_338-Kenya,No
uniqueid_339-Kenya,No
uniqueid_340-Kenya,No
uniqueid_341-Kenya,No
uniqueid_342-Kenya,No
uniqueid_343-Kenya,Yes
uniqueid_344-Kenya,No
uniqueid_345-Kenya,No
uniqueid_346-Kenya,Yes
uniqueid_347-Kenya,No
uniqueid_348-Kenya,No
uniqueid_349-Kenya,No
uniqueid_350-Kenya,No
uniqueid_351-Kenya,No
uniqueid_352-Kenya,No
uniqueid_353-Kenya,Yes
uniqueid_354-Kenya,Yes
uniqueid_355-Kenya,No
uniqueid_356-Kenya,No
uniqueid_357-Kenya,No
