uniqueid,bank_account
uniqueid_6056 x Kenya,Yes
uniqueid_6060 x Kenya,Yes
uniqueid_6065 x Kenya,No
uniqueid_6072 x Kenya,No
uniqueid_6073 x Kenya,No
uniqueid_6074 x Kenya,No
uniqueid_6075 x Kenya,No
uniqueid_6076 x Kenya,No
uniqueid_6077 x Kenya,No
uniqueid_6078 x Kenya,No
uniqueid_6079 x Kenya,No
uniqueid_6080 x Kenya,No
uniqueid_6081 x Kenya,No
uniqueid_6082 x Kenya,No
uniqueid_6083 x Kenya,No
uniqueid_6084 x Kenya,No
uniqueid_6085 x Kenya,Yes
uniqueid_6086 x Kenya,No
uniqueid_6087 x Kenya,No
uniqueid_6088 x Kenya,No
uniqueid_6089 x Kenya,No
uniqueid_6090 x Kenya,No
uniqueid_6091 x Kenya,No
uniqueid_6092 x Kenya,No
uniqueid_6093 x Kenya,No
uniqueid_6094 x Kenya,No
uniqueid_6095 x Kenya,No
uniqueid_6096 x Kenya,No
uniqueid_6097 x Kenya,No
uniqueid_6098 x Kenya,No
uniqueid_6099 x Kenya,No
uniqueid_6100 x Kenya,No
uniqueid_6101 x Kenya,No
uniqueid_6102 x Kenya,No
uniqueid_6103 x Kenya,No
uniqueid_6104 x Kenya,No
uniqueid_6105 x Kenya,No
uniqueid_6106 x Kenya,No
uniqueid_6107 x Kenya,No
uniqueid_6108 x Kenya,No
uniqueid_6109 x Kenya,No
uniqueid_6110 x Kenya,Yes
uniqueid_6111 x Kenya,No
uniqueid_6112 x Kenya,No
uniqueid_6113 x Kenya,No
uniqueid_6114 x Kenya,No
uniqueid_6115 x Kenya,Yes
uniqueid_6116 x Kenya,Yes
uniqueid_6117 x Kenya,No
uniqueid_6118 x Kenya,No
uniqueid_6119 x Kenya,No
uniqueid_6120 x Kenya,No
uniqueid_6121 x Kenya,Yes
uniqueid_6122 x Kenya,No
uniqueid_6123 x Kenya,No
uniqueid_6124 x Kenya,No
uniqueid_6125 x Kenya,No
uniqueid_6126 x Kenya,No
uniqueid_6127 x Kenya,No
uniqueid_6128 x Kenya,No
uniqueid_6129 x Kenya,No
uniqueid_6130 x Kenya,No
uniqueid_6131 x Kenya,No
uniqueid_6132 x Kenya,No
uniqueid_6133 x Kenya,No
uniqueid_6134 x Kenya,No
uniqueid_6135 x Kenya,No
uniqueid_6136 x Kenya,No
uniqueid_6137 x Kenya,No
uniqueid_6138 x Kenya,No
uniqueid_6139 x Kenya,No
uniqueid_6140 x Kenya,No
uniqueid_6141 x Kenya,No
uniqueid_6142 x Kenya,No
